================================================================================
自适应降噪模型评估统计
================================================================================

样本数量: 30

噪声估计:
  噪声标准差范围: 0.0121 ~ 0.0497
  估计噪声范围: 0.9643 ~ 0.9922
  估计误差 (MAE): 0.9465

自适应去噪强度:
  最小强度: 0.1380
  最大强度: 0.1426
  平均强度: 0.1403

去噪效果:
  平均输入CD: 0.002621
  平均输出CD: 0.003104
  平均改善率: -41.13%
  平均MSE: 0.001938

详细结果:
  样本1: 噪声=0.0176, 估计=0.9738, 强度=0.1410, CD改善=-154.82%
  样本2: 噪声=0.0310, 估计=0.9779, 强度=0.1404, CD改善=-27.26%
  样本3: 噪声=0.0366, 估计=0.9808, 强度=0.1399, CD改善=6.91%
  样本4: 噪声=0.0497, 估计=0.9922, 强度=0.1380, CD改善=3.90%
  样本5: 噪声=0.0216, 估计=0.9709, 强度=0.1415, CD改善=-81.89%
  样本6: 噪声=0.0121, 估计=0.9643, 强度=0.1426, CD改善=-292.58%
  样本7: 噪声=0.0251, 估计=0.9714, 强度=0.1414, CD改善=-46.35%
  样本8: 噪声=0.0320, 估计=0.9843, 强度=0.1393, CD改善=-26.20%
  样本9: 噪声=0.0420, 估计=0.9826, 强度=0.1396, CD改善=2.02%
  样本10: 噪声=0.0260, 估计=0.9731, 强度=0.1411, CD改善=-53.47%
  样本11: 噪声=0.0360, 估计=0.9832, 强度=0.1395, CD改善=-10.68%
  样本12: 噪声=0.0345, 估计=0.9778, 强度=0.1404, CD改善=-24.46%
  样本13: 噪声=0.0475, 估计=0.9862, 强度=0.1390, CD改善=-2.11%
  样本14: 噪声=0.0266, 估计=0.9791, 强度=0.1402, CD改善=-36.77%
  样本15: 噪声=0.0358, 估计=0.9794, 强度=0.1401, CD改善=-11.22%
  样本16: 噪声=0.0318, 估计=0.9743, 强度=0.1410, CD改善=-20.87%
  样本17: 噪声=0.0267, 估计=0.9742, 强度=0.1410, CD改善=-11.00%
  样本18: 噪声=0.0130, 估计=0.9663, 强度=0.1423, CD改善=-259.62%
  样本19: 噪声=0.0438, 估计=0.9875, 强度=0.1388, CD改善=7.49%
  样本20: 噪声=0.0214, 估计=0.9747, 强度=0.1409, CD改善=-30.50%
  样本21: 噪声=0.0414, 估计=0.9848, 强度=0.1392, CD改善=6.66%
  样本22: 噪声=0.0336, 估计=0.9770, 强度=0.1405, CD改善=-5.37%
  样本23: 噪声=0.0241, 估计=0.9703, 强度=0.1416, CD改善=-53.29%
  样本24: 噪声=0.0411, 估计=0.9818, 强度=0.1397, CD改善=-3.36%
  样本25: 噪声=0.0342, 估计=0.9824, 强度=0.1396, CD改善=-13.69%
  样本26: 噪声=0.0291, 估计=0.9799, 强度=0.1400, CD改善=-19.30%
  样本27: 噪声=0.0443, 估计=0.9869, 强度=0.1389, CD改善=-6.71%
  样本28: 噪声=0.0198, 估计=0.9698, 强度=0.1417, CD改善=-66.56%
  样本29: 噪声=0.0325, 估计=0.9801, 强度=0.1400, CD改善=-5.06%
  样本30: 噪声=0.0425, 估计=0.9825, 强度=0.1396, CD改善=2.28%
