================================================================================
真实数据训练的自适应降噪模型评估统计
================================================================================

样本数量: 30

噪声估计:
  噪声范围: 0.0588 ~ 0.1984
  估计噪声范围: 0.0693 ~ 0.1896
  平均估计误差 (MAE): 0.0126

自适应去噪强度:
  最小强度: 0.2958
  最大强度: 0.3292
  平均强度: 0.3144
  标准差: 0.0113

去噪效果:
  平均输入CD: 0.048124
  平均输出CD: 0.014246
  平均改善率: 58.82%
  平均MSE: 0.027030

按噪声水平分组:
  低噪声 (<0.10): 11 个样本, 平均改善率: 36.05%
  中噪声 (0.10-0.15): 8 个样本, 平均改善率: 64.50%
  高噪声 (>=0.15): 11 个样本, 平均改善率: 77.46%

详细结果:
  样本1: 噪声=0.0777, 估计=0.0716 (误差=0.0061), 强度=0.3283, CD改善=32.70%
  样本2: 噪声=0.0739, 估计=0.0796 (误差=0.0056), 强度=0.3259, CD改善=64.00%
  样本3: 噪声=0.1623, 估计=0.1655 (误差=0.0032), 强度=0.3022, CD改善=72.32%
  样本4: 噪声=0.1487, 估计=0.1486 (误差=0.0000), 强度=0.3068, CD改善=76.07%
  样本5: 噪声=0.0612, 估计=0.0784 (误差=0.0172), 强度=0.3262, CD改善=58.27%
  样本6: 噪声=0.0708, 估计=0.0708 (误差=0.0000), 强度=0.3286, CD改善=14.14%
  样本7: 噪声=0.1034, 估计=0.0976 (误差=0.0058), 强度=0.3208, CD改善=62.97%
  样本8: 噪声=0.0780, 估计=0.1061 (误差=0.0281), 强度=0.3184, CD改善=4.47%
  样本9: 噪声=0.1984, 估计=0.1839 (误差=0.0146), 强度=0.2973, CD改善=83.56%
  样本10: 噪声=0.1927, 估计=0.1705 (误差=0.0221), 强度=0.3009, CD改善=85.06%
  样本11: 噪声=0.0588, 估计=0.0782 (误差=0.0194), 强度=0.3263, CD改善=24.37%
  样本12: 噪声=0.1501, 估计=0.1241 (误差=0.0260), 强度=0.3135, CD改善=66.48%
  样本13: 噪声=0.1264, 估计=0.1152 (误差=0.0113), 强度=0.3160, CD改善=75.69%
  样本14: 噪声=0.1216, 估计=0.0960 (误差=0.0256), 强度=0.3213, CD改善=52.64%
  样本15: 噪声=0.1889, 估计=0.1486 (误差=0.0403), 强度=0.3068, CD改善=77.47%
  样本16: 噪声=0.0965, 估计=0.0928 (误差=0.0037), 强度=0.3222, CD改善=38.45%
  样本17: 噪声=0.0965, 估计=0.0851 (误差=0.0114), 强度=0.3243, CD改善=69.76%
  样本18: 噪声=0.1146, 估计=0.1355 (误差=0.0208), 强度=0.3104, CD改善=52.98%
  样本19: 噪声=0.0814, 估计=0.0758 (误差=0.0057), 强度=0.3270, CD改善=41.37%
  样本20: 噪声=0.1051, 估计=0.0849 (误差=0.0202), 强度=0.3244, CD改善=60.76%
  样本21: 噪声=0.0756, 估计=0.0693 (误差=0.0063), 强度=0.3292, CD改善=36.26%
  样本22: 噪声=0.1886, 估计=0.1824 (误差=0.0062), 强度=0.2977, CD改善=85.66%
  样本23: 噪声=0.1589, 估计=0.1721 (误差=0.0132), 强度=0.3004, CD改善=68.99%
  样本24: 噪声=0.1792, 估计=0.1592 (误差=0.0200), 强度=0.3039, CD改善=89.39%
  样本25: 噪声=0.1673, 估计=0.1576 (误差=0.0097), 强度=0.3043, CD改善=84.70%
  样本26: 噪声=0.1399, 估计=0.1360 (误差=0.0039), 强度=0.3102, CD改善=62.14%
  样本27: 噪声=0.0716, 估计=0.0704 (误差=0.0012), 强度=0.3288, CD改善=12.80%
  样本28: 噪声=0.1941, 估计=0.1896 (误差=0.0045), 强度=0.2958, CD改善=59.09%
  样本29: 噪声=0.1931, 估计=0.1789 (误差=0.0142), 强度=0.2986, CD改善=79.38%
  样本30: 噪声=0.1082, 估计=0.1202 (误差=0.0120), 强度=0.3146, CD改善=72.75%
